year,average_speed_kmh,Comm_speed_Paris,AgriLand_inc,HousingLand_inc,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,employment,theta_rural,theta_urban,Employment_rural,Land_rural,P_rural_Sauvy,P_rural_Toutain,P_rural,stheta_rural,stheta_urban
2242,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,242.69702241224329,145.92948939048236
2243,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,245.12399263607395,147.38878428444022
2244,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,247.57523256251108,148.8626721276618
2245,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,250.0509848878722,150.35129884852586
2246,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,252.55149473707746,151.854811836964
2247,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,255.0770096844899,153.37335995565775
2248,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,257.6277797810083,154.90709355536168
2249,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,260.2040575790754,156.4561644908151
2250,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,262.80609815490783,158.02072613547574
2251,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,265.43415913628326,159.6009333968423
2252,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,268.0885007275488,161.19694273059855
